5:530,864:aB4aW3fB5aW4dW5gB2fB2c
20:3,341,059:bB2bB2B3aB4dB8W5eB5eB3fB3bW3fB2bW3cW3W5bB3aW3cW2B3dW2B3gW2eB4cB2nB2W2cB5B4W4aB2aB4fB2aW3B2qB4cW2aW3fW4W2aB12B2bB3B3dB3fW2iW4bB3bB2bW3hW3B7aB2B2bB2eB4W2aW3jB3B2B3bB2cW3cW2gW5cB2aW2aB2B4iB5bW2aB2aW2bB3dB3aW4aW2aW4W3cB3cW2gB6dW3eW2bB2aW3W5eW5W3bW2aB4B2kB6iW6aB3bB3gW5B3cW2cW3aB3eW3hB4dB3cW3B2dW5aW2dW3gB5bW2bB6h
20:2,679,722:cW2bB2jB2eB2aB2aB2aB3W3aB3aB7aW2eW3aB3B3bB2aW2W3W3B2eB5aW4eW3iW4hB4eW2gB2W3B4dB3B3B3W2cW2W2aW5bW2eB2eB2iB2bW2bB2aW2bB2B2bB2W2fW3aW12cB2eB2cW3hB8aB3cB2B2B4W3eW3hW3dB2fW4aW6W4dB6B5cW2cB8dW2cW9W7eB4eB4lW5aW2dW5gB3gB5cW5bW2hW6bB6W7aW2bB6eB3aB2jW2hB4cB2aB2bB9eW4B6aW2aW3cB2eB3fW3bW2dB3cW2bB9jW4hB9eW7fW5a
20:2,589,287:eW6B7fW7fB3aB3aB3cB5aB7dB6aW2aW2hB3fB3gW4B4jB4aB2bB2aW2dB2eW3bW3cB4W3eB2tB2W2W7hW2dB4cB2cW4aB2B6gW3fB3cB9aW8mB2fW3fB7bB6nB4fW6bB3W2bW3W5aB2aB3aB2dW3mW2B4aB3bW3kW6B3cB2cB2B2W5bB4bB5fB3pB5fB3cB4bB9eW5jB4lB2aW3eB6cB3aB5eB4aB3aB2bW2dW2eB3B5lB3aB2iW12k
25:1,486,727:cB3lB13lW2hW6cB3B2B3eB8gW5aB2aW3cB3hB6W4dB3hB2aB4B2eB2B4bW7aB5bB3iW3dB2fW8W4W4eW2cB2dB3bB2hW2aB5gB3gW2aB3hW2aW2aB5W2B3bW3B2oB2cW3eB3cW3cW2B3eW4cW6bB7aB3cW4hB2mW3dB2cW3dB2bW2aB3eB2cB6W4bW3bB3cB3aB2dB3hB7B2cW2eB3bW3aB2jW3B4iW3B4B5bB2cB3B2aW7kB4dB5aW2bB5bB4bW2aW2lB2eB2fB3aW3jB5W2B3B2B8aW2B4W3bB2lW5bB4B2B3cW2bB3aW6W3B6aB4bW6aW2cW4eW2aB2gB2bW10B7iW2kB2B3aB11dB7jW4bW3bW2aB3B10pB4aW2gW3jB3iW4B2bB2bW2B3B2bW2aB3cB4W2dW2eB2bB5fW3B6dW7gB2b
25:8,688,741:dB3bB4aW2B3hW4eB12aB3cW2eB2B2B4cB4jW3bB3cB2dW3eW4aB3aB3dB2B4eB2B2B2dB3cW2aW2cB8aB3eB4aB3bB2aW2aW4cW2gW2B3dB6bB2bB2W3dB4iB5B2bW3B3B2aB2B2cW6aW2hB8W3iB3kW6sW2kB4cW7aB4aW3aW2W3B4B3hB4dB5B4bB5aB2fW2B5aW8aW9B3eB2jB4fB12fB3B3iW3bB2bB5aB6B3dB5dW6bW4eB5lB2eB5bW3dB6B4kW3dB3fW4dB3aB2bW2B3B3fW2aB7fB4bB2aB2aW3bB3aW2aB2aB3bW5gW2W3cW2fB2cW2aB5bW7hB3bW2B4bB3cB2aW2fB6B6dB2eB3W2dW4cW6aB3cW4dW2B3cB3bW2B4gB2B4bB4bW3cB2pB3aW2eB5bB6nB4eB2aB3bB3cB2aB2oW2fB3aW4bB5aW6gW2b
25:7,307,881:lB4cB6eB6aW3fB4cB2aB2bB3B4cB7B4B2aB4dW2cB2fB3dB3gB2B4cB2gW4aW3iW4aW3cB3B2bB2W2gB5kW3bB4aB2aW4gW6B4eB3bW3bW4aW2bW3aB4aW2bB2hB2bW2dB3iB8B6fB2W2bW2dW2B3aW2aW2bW4iB3B4jB2cW3cB5aW4fW2aW4bB2B2cB2aW3bB3nB7dB2cW2dW3cW5W3B4aB2eB2aW3B2kW7W5B4cW3bW5aB2bB2W2B5cB5aB6fB2gB2W6bB3B3cW2bW2eW4aB6aB5dB8dB5aW2bW2fB3B2eW2cB3B2B3aW3iB2eW8B2dB2cB4aB2fW2dW4aB9aW3W3bB6cB2aB6W6aW2B5aB2B3W2aB3aB5gW4aW2hW16hB2cB4iB5mB2dB3B2fB3bB4aB2bW2bB2cB4bB3eW6cB17W3aW2dW2B3bW2aB7bB2bB5gB4bB4bW3aW3W2cB2cW5bB3B2gW5eB3bB5jB2a
25:6,434,046:eW2bW3cB2aB6B2eB3dB5bW2B3dB2bB3dB9bB2aB3gB4B2eW3oW2B2aB3jW4bB2B4aB2aB2aW5cW2fW3lB2B4fB3bB2iB4B3bB2bB6B2aW2dB2bB5W4B3B2hW2B3W2eB2bB4dB2B3lB2aB2cW4pB2aW3aB3lW2mB2bW4fB3dB3bB2lB3aW5gB3B4dW3fW2aB2cB5B5W3cW4dW3W6B4nW3qB2dB6lB7eB4B3bB2W3aB5W4cB6dB6cW2aW6eB3aB4bW3aB4bB5hB5hW4B12aB3fB4cW7B3fB2gW3dB5eB2cW13aW3aW2dW5gB5aB4kW2aW2B2aB3aB5dW3pB2aB2eB4aB4aB9cW2bW11W2bW2bB4iW4cB4gW2bB3B2gB2cW3B4gB3fW2B5W3bB2hW2W6aB2cB2B3aB2eW6bB3aB3bW3c
25:2,025,047:lW10bB2dB2hB6bW2aB7oB3bB2dB3fB2dW6dW3bW14fB2cW3hW5W6B2bB2oB6kW10aW5W4dW3nB2hW4bW2aW4aB2cW6W6dW2dB5aB7W4dW2aW2nW6fW3bW3cB9dW2cB4fB2bB2aW4fW2dW2iB2eB5fW3bB5eB5hB2aB6iW3iB2cB3B3dB3cB3tB2gW4cW3aB3cB2eB6B2eW2aW2bW2dB2aW3hB2bB4B2hB8B2aW4cW5bW2kB3fW4bW2aW4hB5fB2aB4tB2cB3cW2gB2hW2gB2B2B4gB9eW4eW2bW4fW5dB7W4W5B9dW5B3bW5hB3jB3bB3fW2aB2jW2aB2dW2hW4cB5B2aB2B2eW4gB5fW5cB3bB2e
25:1,976,692:gW4nW10cB9fW2fB2dW9lB2fB6eB4bB2eB4fW2bW4bB2B3bW3dB3dB6W2aW2cW2B5eB3bW3aW2qB3cW3jW3iB5aW2gB2B3eB2B5aW2W5bW3aW2eB2eB3aB2aB2bW2bB3eB3aB4W2fB10lW3W2iW5dB3W2bW3qW3fW6cB8hW2aW2fB2aB2eW2bB5aB3aW2bB2bW5B4hB2fB4uW6aW5bB2dB2aB3lW6cW4dW2B4hB4B3cW5W5gB4dW3aW3cW2aB3aW5kB5W2bB7pW4cW3bB2eB2fB7lB3eB3W11bB4hW4aW4lB3aW2bB5iW3aW2B4bW4gB2eB2gB6eB2jB2aW11B3W2aB3aB4B2bB6W4lB2lB2fW2aB5bB7eB2bB4eB2aB2a
5:7,184,597:eB6W2B2fB3B4cW2eB2bW3cB2bB6
5:9,761,419:fW2B4fW4iB5jB10
5:1,125,014:cB2B2cB2bW3dB3cW2dB3eW5d
5:9,536,268:bB6dB4W4aB2fB3jW3dW4b
5:8,500,075:hB2bB3W3dB5bB3eW4dW5d
5:1,492,616:gB3bB3B4bW3fW2eW3cB2d
5:4,033,904:aB4bB2lB2bW2B3bW5aW2bB2cB2b
5:3,289,102:dW3eB2cW2bB2B4aB3cB2eB3bB4b
5:4,619,472:aB2aB2bB3jB3aB2eW2dB4dB3
5:3,048,908:B6dB5aB2eB4aW3aW4W5gB2fB3B2a
5:1,802,467:cB5B3bB3dW3iW2B5jW5a
5:2,771,023:cB4cB2cW4B2hW2B5bB2fB3aB2a
5:7,887,988:cW3gB3B3cB2B3dB3bB3B2bB4f
5:2,414,694:jB2aW5W4W3gW2fW5aW5d
5:3,253,085:eB3cB3aB2aB4gB3bW5cW4eW5a
5:5,313,969:aW4fW2bB2fB4cW2aB2fW4d
5:6,280,084:eB3eB2dW2aW5bB2aB3fB8e
5:432,119:aB2B2hW2B3fB2dB4W3hB5a
5:5,911,022:B6bW3lB2B4dB4gB6aB2B2b
5:2,459,150:bW4bB5B3aB2tW2B4e
5:6,431,411:eB9aB2aB2dB2aW2bW4dW2aW2fB2b
5:1,413,095:B6cW2fB2cB3aB3fW5B3fB3c
5:1,868,052:B10dB6gW2eB4iW2cB2aB3
5:1,994,369:cW4aB6aB2dB2cB2dB2aB3B2aB3gW5a
5:8,967,122:aB2cB3eW2iB4B2aW5aB2aB2W2f
5:5,253,364:dB6jB3bB2eB3bW2B2eW2a
10:2,209,059:dW4aW4kB2bB2W3B2cB5eB4cB2dB2iW8bW6aW2bB4fW3B2fB3fB4W7cB2lB3lB2aB2dB3
10:7,585,613:cB7bW3B4mW2W4gW3iW3gW4cB4dB5bW4W3fB3dB2B3cB3gW2cB2gB2dB2B2gW7eB4b
5:610,131:aB3B3dW2dW3B3kW2B2aB5fB3
5:1,931,395:cB2iW3aB3dB3bW3B5fB2d
5:3,700,670:bW3B4bW2B2gB3cB2cB2bB2bB2cW5b
7:1,891,848:eW6bB4bW2nW2aW3B3gW2bB2iW3cB2W5aB2aB3bB2a
7:6,483,955:fB3dB4cW4B3cB2B2hB3aB6bB4eB4dB2gB2bW2eB3
5:4,741,522:aB2cB6W4cB2bB2bB3cB2o
5:5,763,376:bW3mW2bW2gB2aB2B6dB6
5:8,277,486:cB2bW2B2fB3aW2B4dB2aW2aW2i
7:1,305,103:bW4fB2aW2dB2cW2W3aW4iB2aB3W2eB6aB4bB3aB3eW2B3B2dB2a
7:8,189,111:B4aW3dB3dB2W4B3dB3dW3hB3bB2mB5eB8g
7:1,845,873:cW7hW3eB2aB2bB2cB2eW3aW2bB2hB4W4B4bB3cB9eB2a
10:4,050,348:B11dW5cW2dB2B4W2cB5cW2cW2cW6bW2eB3cB2aW3cB2eB2aB3lW5pW2cB2aB3B3aB3aB4dW3fW4bB2aB3c
10:3,515,465:iW7aB4cB2B4cB3dB2hB3bB4B5qB2cW4cW3cB4cW4eW2gW2aW4cW2eW4bB2cB4bB4bB5i
10:1,366,434:dB4cB3B2hB2B2bW8aB2W7dB3cB2cW3cW3bB2cW2B4fB2wB2eB2aB4cB2jB3aW2B6dB8bW7e
15:8,867,306:cW2aB4dB2aB5eB3B3fB3aW2bW5bB3bB5W2aB4aB3xW2dB5eB4aB3B3dW3B5jB5B6aW3bB2aW5iB3aB3aB3bW6iW2kW3aB4bB2fW7iW2lW2eW3aB2aB5B5B5aW2bB2cW3dB4aB2bW3dW2bW2bW2cW5dW3B3aB2aB3iB4i
15:7,510,233:aB2dB3aB6aB6dB12bB2aW4bB4eW3B5iW4jB3eW3W3aW2eW3bB3kB3dW2aB4bB3W2eB2hB3B5dB4eB5cW2cB9B8aB2cB3bW4bW3aW2aB2cB3aB2dB8B4jB4dB4bB2B5W2dW3hB3cW3aB4bW3aB3jW2eB6cB2bB2B4bW8hB2lW10c
15:1,169,504:gB6W4eW3bB8B3B3fW3bB2bW10lB2W3fW4aB4W5bB7B2gB4eW4bB2aB8fB5kB4kB2iB2dB2cB9bW5hW2cB3dB2cB2cB3vB4B2gW2cW3cB3bB3aW2cB3jB2aB4bB2aW3bW4bB6cW3iW9gB2b
20:7,877,659:B18cW2hB6aB7gB2aB2dB3bB3cB5aW3iB4gB3gW2dB3gB5bB2fW2cW3aB6bB2aW3aB2aB2dW3eB2dB2bW2dW13cW2B4W2B2bB2cB4bB2B2jW5bB6cB4bB3W4bW8cB4eW2dW3fB3B2fB3dB3W2fB4B2B2dW2aW2aW3eB8nB5aB4W3hB3aB5fW5B9B3kB5eB5eW5aW16aB10aB3dB5dW4B2bB3oW4iB3W2bW5cW5aW5fB6dB3dB9W3fW2cB8eB6fB7bW4bW3W2aW2B3eB4B2mW9mW7e
20:6,284,217:bW3B4eB6bB2bW4eB2cW3cB4aB2W2fB6aW2eW3aB2cB4mB5gW4cB3W10eW2eB6W5dW4aB8bB2dW2fB7cB5jB2B2aW2gB5W7cW6W8B5bB6B3hB2W4kB2bW5bW6aB2mB2bB5hW2kB3kB4fB3eW4bB3bB8B5aW5hW3dB4aB3aB3dW2aW3aW2cB2nB8eB3B3aW4hW3wW5bW2dW5aW3cW5B2aW3B3fW3aW2dB2aW3fW3gB4bB2B3jW10bB3fB2aW2cW2dB13cB4B2h
20:8,102,500:cB2dB5W4eW5fB3dB2aB2hB4dW2B4W3dB2bW4W4aW2cW3aB4aB3cB6bB2B3aW4eB3W2dB4iB5iB2bB2W3W2eB3W2bW4hB2jW3fW2cW3bW5cB2W2aB4bB14aW16eB2cW5eB2aB4eW2B3B2bB3dB3W2hW2cB2pB4bB2gW2bB3fB5dB4dW2bW3B3jW3dB5bW2gW12cW2B3dW2cB4kW2cB6bW3bB2B4eB2aB3jB3bW8dW2fB4W4eB2fB2bB2W2gB2eW14aW2gW2aB4aB2B2nB8aW4eB3cW3a
25:9,249,698:bW2dB2eW4eW3dB3cB4dB3aW2aW2W2bB4bB3B2bW2aW2cW3dB5bW4hB4dB4fW3bB3eB2bW2B5hB3B5aB6bB2bW4dW3cB3aB6W4hB5B4jW3aW2hB2W2cB4bB4bW3bW3dB4B2aB5iB4B6fW3B5gW6eW2aB2W3B5cB7dB3dB2fB4B4rW4fB6bB5B2aB2B3aB6aW3bB4bB2B2cW4bB3fB2fB7aB3cW3eW2fB3eB2bW2aB4cB8W2aB3dW3aB2B3iB4W3eB3bB2aB3aW2aB2cB2bW3hB2cB5gB4iB4B3B8hW2dW4aB5fW3cB2aW7B5B2W2aB2bB6aW4aB5aB4aB2aB2B2kW2gB2dB3bB5bB2cB3cB2B6B7cB3bW4W3bW2bW5bB3cB4aW2gB2aB5dB4iB3iW3dW2mW5aW3W4eB3dB3B2cW2kB2W2W2iW3B3bB5cW2cB7aW2bW2bB2eB6oW11cB5e
